UE,NO_INV,NO_PECHE,NO_POSE,NO_STATION,LATITUDE,LONGITUDE,DATE_POSE,HEURE_POSE,MINUTE_POS,DATE_LEVEE,HEURE_LEVE,MINUTE_LEV,PROF_DEB,PROF_FIN,MAILL_RIVE,COMMENTAIR,NORMAL,HASARD,IND_ACTION
07-00882-IPE,4,1,1,F-1,45.856930,-74.773870,9/9/2020,14,40,9/10/2020,11,51,14,20,P,,O,O,a
07-00882-IPE,4,1,2,F-2,45.847220,-74.790000,9/9/2020,14,56,9/10/2020,12,15,10,13,P,,O,O,a
07-00882-IPE,4,1,3,F-3,45.841020,-74.769250,9/9/2020,14,25,9/10/2020,11,35,18,30,P,,O,O,a
07-00882-IPE,4,1,4,F-4,45.828610,-74.785840,9/10/2020,13,42,9/11/2020,10,46,13,19,G,,O,O,a
07-00882-IPE,4,1,5,F-5,45.821380,-74.769600,9/9/2020,13,54,9/10/2020,11,8,15,32,G,,O,O,a
07-00882-IPE,4,1,6,F-6,45.818710,-74.769100,9/9/2020,13,30,9/10/2020,10,51,16,38,P,,O,O,a
07-00882-IPE,4,1,7,F-7,45.816380,-74.770170,9/8/2020,15,41,9/9/2020,12,11,13,38,P,,O,O,a
07-00882-IPE,4,1,8,F-8,45.815750,-74.756290,9/9/2020,13,18,9/10/2020,10,35,23,26,G,,O,O,a
07-00882-IPE,4,1,9,F-9,45.810030,-74.767560,9/8/2020,15,16,9/9/2020,11,51,17,30,G,,O,O,a
07-00882-IPE,4,1,10,F-10,45.802780,-74.751390,9/8/2020,14,44,9/9/2020,11,23,15,26,G,,O,O,a
07-00882-IPE,4,1,11,F-11,45.797070,-74.754400,9/8/2020,14,30,9/9/2020,10,58,12,20,G,,O,O,a
07-00882-IPE,4,1,12,F-12,45.792220,-74.753890,9/8/2020,14,10,9/9/2020,10,41,22,23,P,,O,O,a
07-00882-IPE,4,1,13,F-13,45.770830,-74.738730,9/8/2020,13,58,9/9/2020,10,20,22,20,G,,O,O,a
07-00882-IPE,4,1,14,F-14,45.813340,-74.776950,9/10/2020,14,0,9/11/2020,10,36,3,7,P,Filet en surplus pour capturer d'autres espèces,O,N,a
07-00882-IPE,4,2,1,SM-1,45.807150,-74.754830,9/8/2020,14,57,9/9/2020,11,39,43,43,,,O,N,a
07-00882-IPE,4,2,2,SM-2,45.836700,-74.781300,9/10/2020,13,30,9/11/2020,11,9,2,6,,,O,N,a
07-00882-IPE,4,2,3,SM-3,45.804240,-74.780980,9/10/2020,14,15,9/11/2020,10,0,1.5,1.9,,,O,N,a
07-00882-IPE,4,3,1,F-1,45.804490,-74.781170,9/9/2020,15,20,9/10/2020,10,9,1.8,2,G,,O,N,a
07-00882-IPE,4,3,2,F-2,45.841880,-74.784740,9/10/2020,13,10,9/11/2020,11,55,4,8,,,O,N,a
07-00882-IPE,4,4,1,BO-1,45.799866,-74.788130,9/8/2020,11,0,9/9/2020,9,40,1,,,,O,N,a
07-00882-IPE,4,4,2,BO-2,45.803031,-74.782564,9/8/2020,11,17,9/9/2020,9,46,1.2,,,,O,N,a
07-00882-IPE,4,4,3,BO-3,45.805960,-74.783865,9/8/2020,11,21,9/9/2020,9,52,,,,,O,N,a
07-00882-IPE,4,4,4,BO-4,45.822483,-74.781669,9/8/2020,11,28,9/8/2020,16,3,0.5,,,,O,N,a
07-00882-IPE,4,4,5,BO-4,45.822483,-74.781669,9/8/2020,16,3,9/9/2020,9,58,0.5,,,,O,N,a
07-00882-IPE,4,4,6,BO-5,45.828025,-74.775650,9/8/2020,11,35,9/8/2020,15,59,1.5,,,,O,N,a
07-00882-IPE,4,4,7,BO-5,45.828025,-74.775650,9/8/2020,16,0,9/9/2020,10,2,1.5,,,,O,N,a
07-00882-IPE,4,4,8,BO-6,45.828953,-74.774095,9/8/2020,11,38,9/8/2020,15,53,1,,,,O,N,a
07-00882-IPE,4,4,9,BO-6,45.828953,-74.774095,9/8/2020,15,54,9/9/2020,10,5,1,,,,O,N,a
07-00882-IPE,4,4,10,BO-7,45.812177,-74.766428,9/8/2020,11,50,9/8/2020,15,21,1.5,,,,O,N,a
07-00882-IPE,4,4,11,BO-8,45.812853,-74.766701,9/8/2020,15,26,9/9/2020,12,0,2,,,,O,N,a
07-00882-IPE,4,4,12,BO-9,45.841900,-74.784220,9/10/2020,13,12,9/11/2020,12,0,0.5,,,,O,N,a
07-00882-IPE,4,4,13,BO-10,45.841820,-74.779260,9/10/2020,13,15,9/11/2020,12,7,1,,,,O,N,a
07-00882-IPE,4,4,14,BO-11,45.829120,-74.782720,9/10/2020,13,44,9/11/2020,11,6,0.7,,,,O,N,a
07-00882-IPE,4,4,15,BO-12,45.812400,-74.779890,9/10/2020,14,7,9/11/2020,10,27,1,,,,O,N,a
07-00882-IPE,4,4,16,BO-13,45.804140,-74.780910,9/10/2020,14,16,9/11/2020,9,58,1.5,,,,O,N,a
07-00882-IPE,4,4,17,BO-14,45.805370,-74.781010,9/10/2020,14,20,9/11/2020,,,1.5,,,,O,N,a
07-00882-IPE,4,4,18,BO-15,45.794800,-74.788610,9/10/2020,14,16,9/11/2020,9,52,1.3,,,,O,N,a
07-00882-IPE,4,4,19,BO-16,45.790940,-74.792120,9/10/2020,14,33,9/11/2020,9,45,1.5,,,,O,N,a
